bike_station,bike_lat,bike_lon,tram_stop,tram_lat,tram_lon,tram_line,distance_km,distance_m,walkable_5min,walkable_10min
Saint-Guilhem - Courreau,43.6089424,3.8727765,Plan Cabanes,43.6085497,3.8680755,43121,0.3809999637208142,380.9999637208142,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Rondelet,43.6031345,3.8759259,42245,0.6938089587416167,693.8089587416167,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Observatoire,43.6063438,3.8768143,43125,0.4349510508450445,434.9510508450445,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Gambetta,43.6055891,3.8739545,43123,0.38474378430067135,384.74378430067134,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Gambetta - Chaptal,43.6062372,3.8727299,43235,0.3008279138548994,300.82791385489935,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Gare Saint-Roch République,43.6052424,3.8797132,43127,0.6936837019726809,693.6837019726809,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Arceaux,43.609864,3.8624768,43119,0.8355538695693118,835.5538695693118,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Comédie,43.6083781,3.8798137,41223,0.5700475304811115,570.0475304811115,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Gare Saint-Roch,43.6056635,3.8802526,41221,0.7037440958671634,703.7440958671633,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Corum,43.6141886,3.881667,41225,0.9233715386586193,923.3715386586193,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Corum,43.6144479,3.8821386,42229,0.9710184645240615,971.0184645240615,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Louis Blanc - Agora de la Danse,43.6147682,3.8780174,41227,0.7730939890305768,773.0939890305768,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Albert 1er - Saint-Charles,43.6166028,3.8739949,41229,0.8574268524003082,857.4268524003082,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Du Guesclin,43.6071804,3.8833017,41138,0.869774493200594,869.774493200594,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Du Guesclin,43.6070636,3.8831972,41218,0.8646258676597378,864.6258676597378,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Plan Cabanes,43.6085626,3.8681304,43237,0.3764456345015526,376.4456345015526,True,True
