departure_station,return_station,dep_quartier,ret_quartier,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_lat,dep_lon,ret_lat,ret_lon
Boutonnet,Rue Jules Ferry - Gare Saint-Roch,Centre,Centre,689,1957.1349104660064,3014.7543352043454,1.540391681269695,0.0,13.308633012759582,43.6199984,3.8678033,43.6053253,3.8812294
FacdesSciences,Fac de Lettres,Hôpitaux-Facultés,Hôpitaux-Facultés,676,481.91177201268687,963.755861253402,1.9998595536031645,11.959953308105469,14.813943025229465,43.633469,3.863365,43.6353331,3.8687709
Observatoire,Médiathèque Emile Zola,Centre,Centre,671,1902.0366133050927,2847.6634195222728,1.497165406597511,0.0,12.571010165481074,43.6145267,3.8710807,43.6082468,3.8930561
Boutonnet,Albert 1er - Cathédrale,Centre,Centre,668,750.7333788174235,1645.6033558354457,2.1919943914411357,0.0,7.264516014335575,43.6199984,3.8678033,43.6148176,3.8737832
Plan Cabanes,Parvis Jules Ferry - Gare Saint-Roch,Centre,Centre,668,1075.51791012656,1498.204316638734,1.3930073153895086,0.0,6.613822955801691,43.6084996,3.868611,43.605325,3.881229
Comédie,Richter,Centre,Port Marianne,665,1508.4707979351924,1629.1621461771651,1.080009071708366,0.0,7.191936294299095,43.6091864,3.8815041,43.6056173,3.8995795
Halles Castellane,Place Viala,Centre,Les Cévennes,659,1903.2531825854933,2161.38505489297,1.1356266600100018,0.0,9.541434324825016,43.6101245,3.8768434,43.6168167,3.8550842
Père Soulas,Louis Blanc,Hôpitaux-Facultés,Centre,655,1950.1456553439643,2320.720573741529,1.1900242258223543,0.0,10.24482097278198,43.6219699,3.855618,43.614645,3.8776294
Pont de Lattes - Gare Saint-Roch,Médiathèque Emile Zola,Centre,Centre,650,977.0068515754252,1576.264228755559,1.613360465398815,0.0,6.958418437841416,43.60438,3.88216,43.6082468,3.8930561
Les Arceaux,Père Soulas,Centre,Hôpitaux-Facultés,647,1205.7546523807057,1932.926212039242,1.6030841831899805,0.1292953491210937,8.647057626786246,43.6126513,3.8632773,43.6219699,3.855618
Vert Bois,Louis Blanc,Hôpitaux-Facultés,Centre,639,2365.1720419861026,3551.601285495115,1.5016249230278969,0.0,15.678543874818184,43.6354897,3.8717793,43.614645,3.8776294
