row_id,station_id,system_id,system_name,city,station_name,lat,lon,capacity,is_virtual_station_hint,label
479,0a9028bf-61c2-48de-aae8-13c8c565c89c,dott-paris,Dott Paris,Paris,id_old058005G20080725153834,48.88276,2.2824,,True,
480,cpbfgi40a5bcngo02tlg,velopop,Vélopop,Avignon,Pont des Deux Eaux,43.94629,4.84307,20.0,False,
481,83,toulouse,VélÔToulouse,Toulouse,SÉJOURNÉ - AMIDONNIERS,43.60569,1.42822,17.0,False,
482,653139063,Paris,Vélib' Metropole,Paris,Pont de Suresnes,48.86742,2.22589,18.0,False,
483,perpignan_parking_BikeRack_Lidl_centre_zidKGHYIDOP,pony_Perpignan,Pony Perpignan,Perpignan,perpignan_parking_BikeRack_Lidl_centre_zidKGHYIDOP,42.68621,2.90793,,True,
484,197,toulouse,VélÔToulouse,Toulouse,PUJOL - PÉRIGNON,43.60036,1.46404,20.0,False,
485,5f537d12-8166-4c69-a3b9-92824b8024a8,bird-bordeaux,Bird Bordeaux,Bordeaux,"46 Pl. des Capucins, 33800 Bordeaux, France",44.8309,-0.56818,,True,
486,stn_QgVjDYKACbc4Y9VwPSDbqv,beb,Rubis'Velo,Bourg-en-Bresse,ALAGNIER,46.19484,5.27254,10.0,False,
487,974,citiz_alpes_loire,Citiz Alpes Loire,Grenoble,Mairie de Bluffy,45.86831,6.21837,2.0,False,
488,08927d3b-4582-4af3-9398-ab43ce852f30,dott-bordeaux,Dott Bordeaux,Bordeaux,ARCEAU_VELO,44.84582,-0.55105,,True,
